name;description;tel;email;url;address;city;zipcode;country_code;country;lattitude;longitude;opening_hours;foursquare_vid;last_updated;;;;;;;;;
Rietveld Academie;"The Rietveld Academy seeks to develop the capacities and creativity of the individual student to its utmost.
We respect the individual and respect his/her liberty to develop a personal approach and this way to decide on his/her own future. We have chosen for the aspects of investigation, the experiment and authorship.";;;http://www.gerritrietveldacademie.nl/;Fred Roeskestraat 96;Amsterdam;1076 ED;NL;Netherlands;52.341.383;4.861.307;;4a3b526a-1e9c-4bfb-aa67-32a25e4cdde3;19 jun 2009 08:55;;;;;;;;;
Basisburo;Joint exhibition and project space for Rietveld Academy and Academie voor Beeldende Vorming in Cultuurhuis Diamantslijperij.;;wytskedeman@basisburo.nl;http://www.basisburo.nl/;Tolstraat 129;Amsterdam;1074 VJ;NL;Netherlands;52.352.767;4.905.879;;4a3b5528-c5a0-4687-bd07-329c5e4cdde3;19 jun 2009 09:06;;;;;;;;;
Hermitage Amsterdam;Sister museum to the original Hermitage museum in St. Petersburg, this museum houses a rich collection of shared cultural objects and paintings from last 1000 years with Russian-Dutch emphasis.;+31 (0)20 530 87 51;mail@hermitage.nl;http://www.hermitage.nl/;Amstel 51;Amsterdam;1001 GR;NL;Netherlands;52.365.287;4.902.268;open daily 10 a.m. till 5 p.m.;4a3b6b78-16f8-4d39-a28a-3e5f5e4cdde3;10 jan 2010 16:48;;;;;;;;;
De Kijkkasten;De Kijkkasten is een straatgalerie die (jonge) kunstenaars de kans biedt hun werk te tonen. Veel mensen kunnen hierdoor op een laagdrempelige manier van beeldende kunst genieten. Tegelijkertijd dragen de kijkkasten bij aan de veiligheid in de straat. Een straat als deze is in één klap veel levendiger, lichter en oogt minder verloederd.;;info@dekijkkasten.nl;http://www.dekijkkasten.nl;"Sint Nicolaasstraat 
(zijstraat nieuwendijk / zijmuur hema)
Amsterdam";Amsterdam;1012 NJ;NL;Netherlands;52.373.801;4.890.935;24 jul 2010;4a3e3f6a-2b98-45bb-9cc4-61f75e4cdde3;21 jun 2009 14:20;;;;;;;;;
Rooms of Red Bull;Rooms of Red Bull is located at the Oudezijds Achterburgwal 24. Until the end of August, it’s opened for public every Sunday between 12.00 and 22.00, and everybody is welcome for an inspiring day full of music, expositions and workshops. Visit www.roomsofredbull.nl for agenda info and to apply for workshops!;;;http://www.roomsofredbull.nl/;Oudezijds Achterburgwal 24;Amsterdam;;NL;Netherlands;52.374.626;4.900.177;every Sunday between 12.00 and 22.00;4a40f395-e21c-4cb9-b7c4-61f85e4cdde3;23 jun 2009 15:24;;;;;;;;;
Van Gogh Museum;The museum contains the largest collection of paintings by Vincent van Gogh in the world. It provides the opportunity to keep track of the artist's developments, or compare his paintings to works by other artists from the 19th century in the collection. The museum also holds an extensive offer of exhibitions on various subjects from 19th century art history.;020-5705200 ;info@vangoghmuseum.nl ;http://www.vangoghmuseum.nl;Paulus Potterstraat 7;Amsterdam;1071 CX;NL;Netherlands;52.358.660;4.880.753;"Mon - Thu 10.00-18.00
Fri 10.00-22.00";4a4378b7-d694-4d4e-a9fe-623e5e4cdde3;24 feb 2010 11:17;;;;;;;;;
Beurs van Berlage;In the Main Hall of the Beurs van Berlage exhibitions are hosted on a regular basis. Also hosts a café. ;00 31 (0)20-530 41 41;;http://en.beursvanberlage.nl;Damrak 277;Amsterdam;1012 ZJ;NL;Netherlands;52.375.346;4.896.025;;4a4c7f87-9d60-4def-bbe0-262c5e4cdde3;10 jan 2010 16:55;;;;;;;;;
Amsterdams Historisch Museum;The Amsterdam Historical Museum tells the compelling story of the growth and heyday of Amsterdam. Go on a fascinating journey of discovery down seven centuries of the city’s history.;+31 (0)20 5231822;info@ahm.nl;http://www.ahm.nl;Kalverstraat 92;Amsterdam;1012 PH;NL;Netherlands;52.370.430;4.891.561;"Monday to Friday: 10.00-17.00
Saturday and Sunday: 11.00-17.00";4a6d8b30-fe20-421c-a8de-63d35e4cdde3;16 mrt 2010 13:21;;;;;;;;;
Bibliotheca Philosophica Hermetica;;;;http://www.ritmanlibrary.nl;Bloemstraat 15;Amsterdam;1016 KB;NL;Netherlands;52.374.363;4.882.279;Open ma t/m vr 9.30-12.30 en 13.30-17.00 uur.;4a6d8b31-4a24-4899-866b-63d35e4cdde3;13 feb 2010 12:14;;;;;;;;;
Museum het Rembrandthuis;;020 - 520 04 00;museum@rembrandthuis.nl;http://www.rembrandthuis.nl;Jodenbreestraat 4;Amsterdam;1011 NK;NL;Netherlands;52.369.484;4.901.342;Open dagelijks 10.00-17.00 uur. Gesloten: nieuwjaarsdag.;4a6d8b32-bc98-438e-91de-63d35e4cdde3;24 jan 2010 12:28;;;;;;;;;
Geelvinck Hinlopen Huis;17th century nobleman's house in the centre of Amsterdam.;020 639 07 47;info@geelvinckhinlopenhuis.nl;http://www.museumgeelvinck.nl;Keizersgracht 633;Amsterdam;1017 DS;NL;Netherlands;52.363.804;4.894.194;Open vr t/m ma 11.00-17.00 uur. Gesloten: Koninginnedag, 24 december t/m 1e maandag van januari.;4a6d8b32-349c-4442-9014-63d35e4cdde3;17 mrt 2010 10:48;;;;;;;;;
Tassenmuseum Hendrikje;;020 - 524 64 52;info@tassenmuseum.nl;http://www.tassenmuseum.nl;Herengracht 573;Amsterdam;1017 CD;NL;Netherlands;52.365.109;4.896.746;Open ma t/m zo 10.00-17.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag.;4a6d8b33-7910-498d-aef5-63d35e4cdde3;27 jul 2009 20:15;;;;;;;;;
science center NEMO;;;info@e-NEMO.nl;http://www.e-NEMO.nl;Oosterdok 2;Amsterdam;1011 VX;NL;Netherlands;52.374.238;4.912.015;"Open di t/m zo, feestdagen 10.00-17.00 uur; tijdens schoolvakanties dagelijks 10.00-17.00 uur met extra activiteiten. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag.";4a6d8db2-2ef4-45a7-afb2-63da5e4cdde3;13 feb 2010 12:14;;;;;;;;;
ARCAM;Architectuurcentrum Amsterdam wil het draagvlak voor architectuur verbreden. In het gebouw zijn exposities te zien en is het informatiecentrum voor architectuur te bezoeken. Het (gratis) bulletin ARCAM Nieuws geeft informatie over de architectuuractiviteiten in Amsterdam. In de Engelstalige reeks ARCAM Pockets worden elementen van de architectuur uitgediept.;;arcam@arcam.nl;http://www.arcam.nl;Prins Hendrikkade 600;Amsterdam;1011 VX;NL;Netherlands;52.371.414;4.911.981;Open di t/m za 13.00-17.00 uur. Gesloten: nieuwjaarsdag, 1e en 2e kerstdag.;4a6db1d0-30e8-49b4-bb23-63d95e4cdde3;27 jul 2009 13:55;;;;;;;;;
Bibliotheek Banne Buiksloot;Een filiaal in een kleine wijk in Amsterdam. Lezers komen niet alleen voor een boek, want er wordt veel gebruik gemaakt van de kranten en tijdschriften. Het interneteiland trekt veel belangstelling en is erg populair bij de jeugd. In de tentoonstellingsvitrine naast de ingang zijn om de 6 weken nieuwe tentoonstellingen te zien.;;bbs@oba.nl;http://www.oba.nl;Ankerplaats 18;Amsterdam;1034 KC;NL;Netherlands;52.406.067;4.917.262;"Open ma, vr 14.00-20.00 uur; di, wo 14.00-17.00 uur; za 11.00-14.00 uur; miv 4 juli 2009 open vr vanaf 10.00 uur";4a6dbb9d-324c-4a3c-b0da-59045e4cdde3;21 aug 2009 09:41;;;;;;;;;
World Wide Web;;;;; ;Amsterdam;1000 AA;NL;Netherlands;52.373.801;4.890.935;;4a6dbb9e-42f0-44d2-b8dd-59045e4cdde3;21 aug 2009 12:31;;;;;;;;;
Station Rai;;;;; ;Amsterdam;1078 GD;NL;Netherlands;52.373.801;4.890.935;;4a6dd30c-c9fc-4904-9e59-63d95e4cdde3;5 sep 2009 08:43;;;;;;;;;
Bijzondere Collecties Universiteit van Amsterdam;Bijzondere Collecties van de Universiteit van Amsterdam bevat een hypermodern depot voor twaalf kilometer materiaal, twee prachtige onderzoekzalen, drie stijlkamers, een royale tentoonstellingszaal en een museumcafé.;;infobc@uva.nl;http://www.bijzonderecollecties.uva.nl;Oude Turfmarkt 129;Amsterdam;1012 GC;NL;Netherlands;52.368.835;4.892.821;Open ma t/m vr 10.00-17.00 uur, za, zo, feestdagen 13.00-17.00 uur. Gesloten: nieuwjaarsdag, 1e paasdag, Koninginnedag, 1e pinksterdag, 1e kerstdag;4a6dd340-01c4-42e6-8a4a-59055e4cdde3;13 sep 2009 09:39;;;;;;;;;
Bibliotheek Oosterpark;Op de hoek van het Oosterpark tegenover de nieuwbouw van het OLVG-ziekenhuis vindt u onze mooie, ruime buurtbibliotheek, met o.a. een grote collectie peuter- en kleuterboeken, educatieve cd-rom's en video's voor kinderen. Voor volwassenen is er een actuele collectie romans en studieboeken uit allerlei veelgevraagde rubrieken zoals reizen en gezondheid.;;oos@oba.nl;http://www.oba.nl;1e Oosterparkstraat 236;Amsterdam;1091 HM;NL;Netherlands;52.357.739;4.916.255;"Open ma, vr 14.00-20.00 uur; di, wo 14.00-17.00 uur; za 11.00-16.00 uur";4a6dd350-efac-4abb-b4bf-63da5e4cdde3;21 aug 2009 12:27;;;;;;;;;
Bibliotheek Watergraafsmeer;;;wgm@oba.nl;http://www.oba.nl;Linnaeusparkweg  220;Amsterdam;1098 ER;NL;Netherlands;52.350.201;4.940.167;"Open vanaf 18 februari 2008; ma, wo 14.00-20.00 uur, vr 14.00-17.00 uur, za 11.00-16.00 uur";4a6dd350-145c-406e-aed0-63da5e4cdde3;21 aug 2009 12:29;;;;;;;;;
Museumplein;;;;;Museumplein ;Amsterdam;1071 DJ;NL;Netherlands;52.357.258;4.880.762;;4a6dd3ce-1a38-406f-8e69-59055e4cdde3;27 jul 2009 16:20;;;;;;;;;
Nederlands Uitvaart Museum Tot Zover;Het verleden, heden en de toekomst van de omgang met de dood. Het nationaal funerair erfgoed en de moderne uitvaart in het multiculturele Nederland staan centraal. De collectie omvat naast vele historische voorwerpen ook de ingrediënten voor een moslim-uitvaart zoals lotuspoeder, kamfer en musk.;020 - 694 04 82;info@totzover.nl;http://www.uitvaartmuseum.nl;Kruislaan 124;Amsterdam;1097 GA;NL;Netherlands;52.345.921;4.937.161;Open di t/m zo 11.00-17.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag. CafÃ© Roosenburgh dagelijks 10.00-17.00 uur.;4a6dd6ef-9544-4e93-99c0-63d35e4cdde3;27 jul 2009 16:33;;;;;;;;;
Nederlands Instituut voor Oorlogsdocumentatie;;020 - 523 38 00;;http://www.niod.nl;Herengracht 380;Amsterdam;1017 CE;NL;Netherlands;52.368.034;4.886.444;Open ma t/m vr 9.00-17.00 uur;4a6dd6ef-a7fc-46c8-8438-63d35e4cdde3;13 sep 2009 09:42;;;;;;;;;
Centrale Bibliotheek;De collectie omvat ruim 500.000 boeken, kranten, tijdschriften, cd's, cd-rom's, bladmuziek, dvd's, video's en andere media. Jaarlijks telt de bibliotheek een miljoen bezoekers. Zeventig medewerkers helpen u de weg te vinden in de overvloed aan informatie.;020 - 52 30 800;info@oba.nl;http://www.oba.nl;Oosterdokskade 143;Amsterdam;1011 DL;NL;Netherlands;52.375.682;4.907.829;Open dagelijks 10.00-22.00 uur;4a6dec87-9a50-4c60-ad38-63d95e4cdde3;5 sep 2009 08:40;;;;;;;;;
Bibliotheek Hagedoornplein;De rustige sfeer van een voormalige kerk gecombineerd met moderne architectuur: een prachtige combinatie voor een bibliotheek. Hagedoornplein is die modern ingerichte sfeervolle bibliotheek en is gehuisvest in de monumentale Ritakerk. Met oranje en zwart als hoofdkleuren is de inrichting zeer warm van karakter.;;hpl@oba.nl;http://www.oba.nl;Hagedoornplein 2;Amsterdam;1031 BV;NL;Netherlands;52.387.886;4.913.595;"Open ma, wo 14.00-20.00 uur; di 14.00-17.00 uur; vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6dec88-79c8-4133-a741-63d95e4cdde3;21 aug 2009 12:26;;;;;;;;;
Bibliotheek Indische Buurt;Het culturele hart van deze multiculturele buurt beschikt over een collectie van 65.000 boeken, video's, cd-rom's en dvd's en 15.000 cd's voor elke leeftijd. De leeszaal heeft 200 kranten en tijdschriften in het Nederlands, Engels, Duits, Frans, Spaans, Turks, Arabisch en Urdu. 12 internet-pc's zijn een half uur per dag gratis te gebruiken.;;ibu@oba.nl;http://www.oba.nl;Soerabajastraat 4;Amsterdam;1095 GP;NL;Netherlands;52.361.366;4.940.814;"Open ma, wo 14.00-20.00 uur; di, vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6dec88-c754-4494-84d8-63d95e4cdde3;21 aug 2009 12:26;;;;;;;;;
Bibliotheek Pintohuis;Bibliotheek Pintohuis, een oase van rust in hartje Amsterdam. Zelfs toeristen komen binnenlopen om de prachtige leeszaal en plafondschilderingen te bekijken. Maar onze vaste bezoekers waarderen het Pintohuis vooral vanwege zijn goede collectie literaire boeken, de video's en het altijd behulpzame personeel.;;ctr@oba.nl;http://www.oba.nl;St. Antoniesbreestraat 69;Amsterdam;1011 HB;NL;Netherlands;52.370.041;4.900.675;"Open ma, wo 14.00-20.00 uur; vr 14.00-17.00 uur; za 11.00-16.00 uur";4a6dec88-f7c4-4372-941f-63d95e4cdde3;21 aug 2009 12:27;;;;;;;;;
Bibliotheek Geuzenveld;De bibliotheek Geuzenveld is sinds 2002 gehuisvest in een nieuw gebouw naast het Lambertus Zijlplein. Dat betekent niet alleen een grotere ruimte en nieuwe kasten, maar vooral ook meer boeken. Voor de jonge lezers zijn er sinds de verhuizing extra veel eerste leesboekjes en cd-rom's aangeschaft. Daarnaast is er extra geld besteed aan detectives en literaire boeken.;;geu@oba.nl;http://www.oba.nl;Albardakade 3;Amsterdam;1067 DD;NL;Netherlands;52.378.101;4.801.362;"Open ma 14.00-20.00 uur; di, vr 14.00-17.00 uur; wo 10.00-17.00 uur; za 11.00-14.00 uur";4a6dece4-6a64-4669-90af-63d85e4cdde3;21 aug 2009 12:25;;;;;;;;;
Bibliotheek Osdorp;Bibliotheek Osdorp is een druk bezochte bibliotheek met een gevarieerd publiek. Er komen veel kinderen, maar ook veel ouderen die even rustig een krantje of tijdschrift willen lezen. 1x in de maand wordt er een introductiecursus internet georganiseerd, waarbij iedereen welkom is. Vraag in de bibliotheek naar de exacte datum. Buiten openingsuren worden er veel scholen ontvangen.;;osd@oba.nl;http://www.oba.nl;Osdorpplein 16;Amsterdam;1068 EL;NL;Netherlands;52.359.032;4.806.485;"Open ma, do 14.00-20.00 uur; wo, vr 10.00-17.00 uur; za 11.00-17.00 uur; gesloten ma 20 t/m ma 27 juli 2009.";4a6dece4-b144-4640-8573-63d85e4cdde3;21 aug 2009 12:27;;;;;;;;;
Bibliotheek Slotermeer;De boodschappen op de markt van Plein '40-'45 zijn goed te combineren met een bezoek aan de boven het plein gelegen bibliotheek Slotermeer (tweede verdieping van het Stadsdeelkantoor). Voor een kleine bibliotheek staan er verrassend veel boeken en tijdschriften. De kinderen komen er graag internetten en de volwassenen lezen er graag hun Turkse en Marokkaanse kranten of lenen de 'top-tien'-boeken.;;slm@oba.nl;http://www.oba.nl;Plein '40 - '45 1;Amsterdam;1064 SW;NL;Netherlands;52.379.360;4.821.377;"Open ma 14.00-20.00 uur; di, vr 14.00-17.00 uur; wo 10.00-17.00 uur; za 11.00-14.00 uur";4a6dece4-30a4-49a5-89c6-63d85e4cdde3;21 aug 2009 12:28;;;;;;;;;
Bibliotheek Mercatorplein;De bibliotheek biedt een actuele collectie boeken, cd-rom's en video's. 175 dagbladen en tijdschriften staan voor u klaar in de leeszaal annex expositieruimte. Er zijn 9 terminals, waarop u een half uur gratis kunt surfen op internet. Regelmatig organiseren wij activiteiten voor jeugd en volwassenen. Via deze website houden wij u daarvan op de hoogte.;;mpl@oba.nl;http://www.oba.nl;Mercatorplein 89;Amsterdam;1057 CA;NL;Netherlands;52.369.907;4.850.276;"Open ma, do 14.00-20.00 uur; wo, vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6dece5-9198-4ef9-82e0-63d85e4cdde3;21 aug 2009 12:26;;;;;;;;;
Bibliotheek Staatsliedenbuurt;;;slb@oba.nl;http://www.oba.nl;Van Hallstraat  615;Amsterdam;1051 HE;NL;Netherlands;52.379.643;4.871.721;"Open ma, wo 14.00-20.00 uur; vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6dece5-17dc-4f66-922c-63d85e4cdde3;21 aug 2009 12:29;;;;;;;;;
Bibliotheek Buitenveldert;De collectie bestaat uit ruim 36.000 boeken, 2000 AVM-materialen, (video's, dvd's en cd-roms) 175 dagbladen en tijdschriften. Voor inlichtingen uit gratis digitale bestanden kan men op de computers in de bibliotheek terecht. Ook kan men een half uur per dag gratis internetten.;;bvd@oba.nl;http://www.oba.nl;Willem van Weldammelaan 5;Amsterdam;1082 LT;NL;Netherlands;52.332.493;4.875.692;"Open ma, do 14.00-20.00 uur; wo, vr 10.00-17.00 uur; za 11.00-16.00 uur; miv 4 juni 2009 open do vanaf 10.00 uur service op maat: medewerkers verlenen individuele hulp en begeleiding bij het zoeken naar informatie of de bediening van kopieermachine en lendomaat.";4a6dece5-0298-4c7c-8945-63d85e4cdde3;21 aug 2009 12:25;;;;;;;;;
Bibliotheek Cinétol;Bibliotheek Cinétol is een monument, ooit gebouwd als een theosofische tempel en tevens jarenlang gebruikt als bioscoop. Dat is nog steeds te zien aan de stijlvolle inrichting, die met behulp van architectenbureau Bolhuis uit Amsterdam is gerealiseerd.Bibliotheek Cinétol ontvangt veel groepen van het basisonderwijs.;;bvd@oba.nl;http://www.oba.nl;Tolstraat 160;Amsterdam;1074 VM;NL;Netherlands;52.352.802;4.905.971;"Open ma, wo 14.00-20.00 uur; di 14.00-17.00 uur; vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6decec-a9b8-48b5-bae3-59045e4cdde3;21 aug 2009 12:25;;;;;;;;;
Bibliotheek Olympisch Kwartier;Bibliotheek Olympisch Kwartier is één van de nieuwste bibliotheken van Amsterdam en heeft een groot leescafé met de mogelijkheid om een kopje koffie of thee te drinken, een tienerhoek en een prachtige kinderafdeling. Er zijn veel internetplekken beschikbaar en deze vestiging heeft twee taalpc's waarop oude en nieuwe Amsterdammers kunnen werken aan hun taalvaardigheid.;;olk@oba.nl;http://www.oba.nl;Laan der Hesperiden 18;Amsterdam;1076 DN;NL;Netherlands;52.345.383;4.857.275;"Open ma, wo 14.00-20.00 uur; di 14.00-17.00 uur; vr 10.00-17.00 uur; za 11.00-16.00 uur";4a6decec-183c-4958-8961-59045e4cdde3;21 aug 2009 12:27;;;;;;;;;
Bibliotheek Roelof Hartplein;;;rpl@oba.nl;http://www.oba.nl;Roelof Hartplein 430;Amsterdam;1071 TT;NL;Netherlands;52.352.795;4.882.419;"Open ma, wo 14.00-20.00 uur; di, vr 10.00-17.00 uur; za 11.00-17.00 uur";4a6deced-1fdc-43f1-809e-59045e4cdde3;21 aug 2009 12:28;;;;;;;;;
Bibliotheek Bijlmer;Het aanbod bestaat uit boeken, tijdschriften, cd's, cd-rom's, dvd's en informatie voor zowel jong als oud. Naast aandacht voor boeken over Suriname, de Antillen en de Bijlmermeer is er een mooie collectie (wereld)muziek. Er zijn veel lees- en studieplekken en internetterminals.De Fonotheek heeft een collectie van 13.500 cd's met soul, r&b, rap, reggae, jazz, blues, pop en modern klassiek.;;brc@oba.nl;http://www.oba.nl;Bijlmerplein 93;Amsterdam;1102 DA;NL;Netherlands;52.314.056;4.951.558;"Open ma 12.00-17.00 uur; wo 10.00-17.00 uur; do 12.00-20.00 uur; vr 14.00-17.00 uur; za 11.00-16.00 uur";4a6deced-bd8c-4e31-b2e9-59045e4cdde3;21 aug 2009 12:24;;;;;;;;;
Bibliotheek Diemen;De bibliotheek heeft ook een Speel-o-theek.;;die@oba.nl;http://www.oba.nl;Wilhelminaplantsoen 126;Amsterdam;1111 CP;NL;Netherlands;52.341.080;4.965.651;"Open ma, vr 13.00-20.00 uur; di, wo 10.00-17.00 uur; za 11.00-16.00 uur";4a6deced-1b54-4fc1-8077-59045e4cdde3;21 aug 2009 12:25;;;;;;;;;
Bibliotheek Reigersbos;;;rei@oba.nl;http://www.oba.nl;Rossumplein  1;Amsterdam;1106 AX;NL;Netherlands;52.297.234;4.976.536;"Open ma 14.00-20.00 uur; wo 10.00-17.00 uur; do, vr 14.00-17.00 uur; za 11.00-16.00 uur";4a6def71-a594-40cb-bddf-59045e4cdde3;21 aug 2009 12:28;;;;;;;;;
Bibliotheek Slotervaart;Achter het gezellige winkelcentrum op het Sierplein bevindt zich bibliotheek Slotervaart. Iedereen, van jong tot oud, kan hier iets van zijn gading vinden op het gebied van boeken, cd rom's, kindervideo's. U kunt er ook rustig zitten lezen, studeren of internetten. Parkeren is gratis.;;slv@oba.nl;http://www.oba.nl;Pieter Calandlaan 87;Amsterdam;1065 KK;NL;Netherlands;52.356.197;4.825.636;"Open ma, wo 14.00-20.00 uur; do 14.00-17.00 uur; vr 11.00-17.00 uur; za 11.00-16.00 uur";4a6def72-4d1c-48bb-acb8-59045e4cdde3;21 aug 2009 12:29;;;;;;;;;
Bibliotheek Molenwijk;Het filiaal Molenwijk is gebouwd als bibliotheek en dat merk je als bezoeker en personeel. Het is er ruim en licht en er heerst een prettige gemoedelijke sfeer. Er is, naast de collectie boeken, voldoende ruimte voor een interneteiland, een jeugdhoek en een grote leestafel. Er is in dit filiaal bovendien een koffieautomaat voor het publiek.;;mlk@oba.nl;http://www.oba.nl;Molenwijk 21;Amsterdam;1035 EG;NL;Netherlands;52.420.036;4.891.215;"Open ma, do 14.00-20.00 uur; wo 10.00-17.00 uur; vr 14.00-17.00 uur; za 11.00-16.00 uur";4a6def72-2e00-4d74-83f8-59045e4cdde3;21 aug 2009 12:26;;;;;;;;;
Bibliotheek Bos en Lommer;Wij hebben een uitgebreide collectie kranten en tijdschriften, gratis internet, boeken, cd-rom's in het Nederlands, Turks, Arabisch en diverse andere talen. Er zijn leeskringen, internetintroducties en projecten voor scholen.;;bel@oba.nl;http://www.oba.nl;Bos en Lommerplein 176;Amsterdam;1055 CK;NL;Netherlands;52.377.983;4.846.296;"Open ma, do 12.00-20.00 uur; di, wo, vr, za 12.00-17.00 uur";4a6def72-8a1c-4275-b8f6-59045e4cdde3;21 aug 2009 12:24;;;;;;;;;
Amsterdamse Bos 'De Molshoop';Bezoekerscentrum van het grootste stadsbos van Nederland. Permanente expositie over het Amsterdamse Bos. Ooit een vis aan de lijn gehad, een paddenstoel horen praten of gebladerd in een bomenbieb? Help dokter Boomstronk de bomen hun werk goed te laten doen. Daarnaast zijn er wisseltentoonstellingen over natuur en milieu.;;info.amsterdam@dab.amsterdam.nl;http://www.amsterdamsebos.nl;Bosbaanweg 5;Amsterdam;1182 DB;NL;Netherlands;52.327.871;4.854.853;Open dagelijks 12.00-17.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag, oudejaarsdag.;4a6defa2-3500-4e15-9f7e-725a5e4cdde3;21 aug 2009 12:23;;;;;;;;;
Zuiderkerk;Centraal staat de vaste expositie 'Werken aan Amsterdam'. Multimediale presentaties over de projecten van Amsterdam vroeger, nu en in de toekomst en een maquette van Amsterdam in 2020 tonen onder meer ontwikkelingen, o.a. langs de IJ-oevers, de Zuidas, de Noord/Zuidlijn en IJburg.;;zuiderkerk@dro.amsterdam.nl;http://www.zuiderkerk.amsterdam.nl;Zuiderkerkhof 72;Amsterdam;1011 WB;NL;Netherlands;52.370.228;4.900.049;Open ma t/m vr 9.00-16.00 uur, za 12.00-16.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1 mei, Bevrijdingsdag, 2e pinksterdag, 1e en 2e kerstdag;4a6defb0-b580-4649-9123-74305e4cdde3;13 sep 2009 09:44;;;;;;;;;
Persmuseum;De vaste opstelling 'Start de persen!' geeft een overzicht van 400 jaar nieuws in Nederland. Met originele en gereproduceerde documenten, beeld- en geluidsfragmenten en interactieve (spel)programma's toont de tentoonstelling hoe de pers is ontstaan en hoe zij zich heeft ontwikkeld tot invloedrijk massamedium.;;info@persmuseum.nl;http://www.persmuseum.nl;Zeeburgerkade 10;Amsterdam;1019 HA;NL;Netherlands;52.369.282;4.939.977;"Open di t/m vr 10.00-17.00 uur; zo 12.00-17.00 uur. Gesloten: feestdagen";4a6defb2-5460-41e1-b134-74305e4cdde3;27 jul 2009 18:19;;;;;;;;;
Cultuurpark Westergasfabriek;De Westergasfabriek exploiteert en programmeert binnen- en buitenruimtes in het Cultuurpark Westergasfabriek. De industriële monumenten en het omliggende cultuurpark van de Westergasfabriek vormen samen een multifunctionele ruimte en een modern stadspark van internationale allure.;;info@westergasfabriek.nl;http://www.westergasfabriek.nl;Pazzanistraat 4;Amsterdam;1014 BE;NL;Netherlands;52.386.227;4.874.426;Kaartverkoop ook bij het Amsterdams Uitburo: www.uitburo.nl, Ticketshop (Leidseplein). Niet voor alle voorstellingen, bel eerst 020-795 99 50.;4a6defca-00bc-4230-8154-70145e4cdde3;27 jul 2009 18:19;;;;;;;;;
Theo Thijssen Museum;Het museum is gewijd aan de Amsterdamse schrijver, onderwijzer, vakbondsman en sociaal-democratisch politicus Theo Thijssen (1879-1943). Hij is vooral bekend als auteur van de roman Kees de jongen. De collectie bestaat uit manuscripten, eerste drukken, foto's, tekeningen, beeld- en geluidsmateriaal en persoonlijke bezittingen van Thijssen.;;info@theothijssenmuseum.nl;http://www.theothijssenmuseum.nl;1e Leliedwarsstraat 16;Amsterdam;1015 TA;NL;Netherlands;52.375.649;4.882.763;Open do t/m zo 12.00-17.00 uur. Gesloten: feestdagen;4a6df57c-aa74-4566-8e90-742f5e4cdde3;27 jul 2009 18:44;;;;;;;;;
NiNsee;;;;http://www.ninsee.nl;Linnaeusstraat 35;Amsterdam;1093 EE;NL;Netherlands;52.361.969;4.924.012;Open do t/m zo 13.00-17.00 uur.;4a6df5cf-a0b0-48f2-9bec-70155e4cdde3;13 sep 2009 09:39;;;;;;;;;
Verzetsmuseum;Het gebouw Plancius dateert uit 1876 en is gebouwd voor de Joodse zangvereniging Oefening Baart Kunst. Sinds 1999 is het Verzetsmuseum er in gevestigd. In de permanente expositie wordt een beeld geschetst van het Nederland voor, tijdens en vlak na de Tweede Wereldoorlog.;;info@verzetsmuseum.org;http://www.verzetsmuseum.org;Plantage Kerklaan 61;Amsterdam;1018 CX;NL;Netherlands;52.367.333;4.912.545;Open di t/m vr 10.00-17.00 uur, za t/m ma, feestdagen 11.00-17.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag. Op 4 mei open van 19.30-21.30, gratis toegang en koffie.;4a6df5cf-8fcc-43fc-a7f2-70155e4cdde3;13 sep 2009 09:38;;;;;;;;;
Kattenkabinet;Permanente expositie van kunstwerken met als onderwerp 'de kat'. De collectie beoogt een zo volledig mogelijk beeld te geven van de kat in kunst en cultuur door de eeuwen heen. Het KattenKabinet is opgericht ter nagedachtenis aan een rode kater J.P. Morgan (1967-1984) in fraai 17de eeuws patriciërshuis.Het museum bezit werken van o.a.;;info@kattenkabinet.nl;http://www.kattenkabinet.nl;Herengracht 497;Amsterdam;1017 BT;NL;Netherlands;52.365.517;4.891.449;Open di t/m vr 10.00-16.00 uur, za en zo 12.00-17.00 uur;4a6df5df-5930-4f51-893a-63da5e4cdde3;27 jul 2009 18:45;;;;;;;;;
Huis Marseille;;;info@huismarseille.nl;http://www.huismarseille.nl;Keizersgracht 401;Amsterdam;1016 EK;NL;Netherlands;52.367.630;4.884.718;Open di t/m zo 11.00-18.00 uur. Gesloten: nieuwjaarsdag, Koninginnedag, 1e kerstdag.;4a6df5e3-1348-4854-925d-70145e4cdde3;16 jan 2010 09:16;;;;;;;;;
